[2026-08-04T00:49:39] scan started
[scan.sh] Python: Python 3.11.9
[scan.sh] PYTHONIOENCODING=utf-8
=== skill-updater · V1.0 ===
扫描根: /c/Users/li/.claude
格式: all
网络: 关闭
README: 跳过
==============================================================================================================
  skill-updater · 扫描报告 · 2026-08-04 00:49:52
==============================================================================================================
扫描到 SKILL: 2062
🟢 跳过: 0   🟡 推荐 review: 16   🔴 必读告警: 0   🟣 本地定制: 2046
--------------------------------------------------------------------------------------------------------------
状态   skill 名                        本地 ver     上游 HEAD    upstream license   备注
--------------------------------------------------------------------------------------------------------------
🟣    a-stock-data                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    a-stock-data-bridge            1.0        -          -                  本地定制（source type=missing，无上游比对）
🟣    anysearch                      2.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    anysearch-academic             1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    anysearch-business             1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    anysearch-finance              1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    async-task-pattern             1.0.0      -          -                  本地定制（source type=unparseable，无上游比对）
🟣    baoyu-article-illustrator      1.117.4    -          -                  本地定制（source type=missing，无上游比对）
🟣    baoyu-comic                    1.117.4    -          -                  本地定制（source type=missing，无上游比对）
🟣    baoyu-compress-image           1.56.1     -          -                  本地定制（source type=missing，无上游比对）
🟣    baoyu-cover-image              1.56.1     -          -                  本地定制（source type=missing，无上游比对）
🟣    baoyu-danger-gemini-web        1.56.1     -          -                  本地定制（source type=missing，无上游比对）
🟣    baoyu-danger-x-to-markdown     1.117.3    -          -                  本地定制（source type=missing，无上游比对）
🟣    baoyu-diagram                  1.117.3    -          -                  本地定制（source type=missing，无上游比对）
🟣    baoyu-electron-extract         1.119.0    -          -                  本地定制（source type=missing，无上游比对）
🟣    baoyu-format-markdown          1.57.0     -          -                  本地定制（source type=missing，无上游比对）
🟣    baoyu-image-gen                2.1.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    baoyu-infographic              1.117.4    -          -                  本地定制（source type=missing，无上游比对）
🟣    baoyu-markdown-to-html         1.117.3    -          -                  本地定制（source type=missing，无上游比对）
🟣    baoyu-post-to-wechat           1.56.1     -          -                  本地定制（source type=missing，无上游比对）
🟣    baoyu-post-to-weibo            1.56.1     -          -                  本地定制（source type=missing，无上游比对）
